
Algae,E102 Tartrazine
Bovines,E131 Patent bluE v
Buttercup Flower,E140 Chlorophylls and Chlorophyllins
Common Silver,E1410 Monostarch PhosphatE (modified starch)
Birch,E226 Calciumsulphite (sulphur dioxide)
Douglas Fir,E228 Potassiumhydrogen Sulphite (sulphur dioxide)
Fusarium,"E230 Biphenyl, Diphenyl"
Moniliforme,E233 Thiabendazole
Guinea Pigs,E250 Sodiumnitrite
Horses,E903 Carnauba Wax
Latex,Amaranth
Leather,Barley
Privet (Ligustrum,Brioche
spp.),Casein
Salt Grass,Clams
Snail,Dried All Spice
Tobacco Leaf,Berries
Buffalo,Egg Yolk
Buttermilk,Grapes (Red)
Caraway,Jalapeno Pepper
Carrots,Lactose
Chicken,Liver (Ox)
Chinese Cabbage,Mayonnaise
Chocolate (Dark),Milk Fat
Coffee (Black),Milk From Sheep
Coix Seed,Olives (Green)
Cress,Parmesan (Cows)
Cultivated Rye,Pink Grapefruit
Dates,Rice
Figs,Rice-Brown
Flaxseed,Rocket
Grapes (White),Seitan
Herring (Red),Soybean Milk
Laver Seaweed,Alder
Milk From Goats,Aspergillus Niger
Moose Meat/Elk,Cotton Wool
Mutton,Daisy
Oat Flour,Dandelion
Pasta,Elm
Pollock,Epicoccum
Preserved Egg,Purpurascens
Red Bass,Gerbil
Rye Flour,Hawthorn Tree
"Smoked Herring,",Johnson Grass
Bloater,Lisianthus
Squid,Lycra
Strawberries,Mesquite
Tequila,Primrose (Primulus)
Trout (Brown),Velvet Grass
Veal,Boron
Yellow Croaker,Bronze
Fish,Chromium
,Europium
,Lanthanum
,Solder
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Amalgam ,
Bismuth ,
Cerium,
,
,
,
,
,
,
,
,
,
,
E110 Sunset Yellow Fcf,
E306 Natural Tocopherols (victamin e),
Tocopherols,
(victamin e),
E452 Polyphosphate,
E465 Ethylmethylcellulose,
Ethylmethylcellulose,
E470 B Magnesiumsalts of Edible Fatty Acids,
E904 Shellac,
E941 Nitrogen Propellant in Spray Cans,
